group,Average of score,dimension
1,0.055696202531645596,experience
1,-0.04272300469483567,novice
1,0.009583333333333336,receiver
1,0.02602739726027399,sender
1,0.01914893617021276,whole conversation
2,0.0916256157635468,experience
2,0.17455357142857147,novice
2,0.1895734597156398,receiver
2,0.06978723404255321,sender
2,0.12192393736017897,whole conversation
3,-0.029093369418132637,experience
3,-0.04867841409691631,novice
3,-0.021100917431192658,receiver
3,-0.048079470198675436,sender
3,-0.04189756507136852,whole conversation
