group,seq,dimension,content,score,magnitude
1,1,experience,You and me.,0,0
1,2,experience,"uh what is your name Tmusalof USA finals, right?",0,0
1,3,experience,OK.,0.5,0.5
1,4,experience,Thank you.,0.8,0.8
1,5,experience,"as far as I know , uh you are the beginner programmer, right?",-0.1,0.1
1,6,experience,OK.,0.5,0.5
1,7,experience,"so, for today, we will be a pair for completing the task.",0.4,0.4
1,8,experience,let me share my screen.,-0.3,0.3
1,9,experience,OK.,0.5,0.5
1,10,experience,"so, let's just get started.",-0.2,0.2
1,11,experience,"With uh I am a driver and you can be a navigator, are you OK or you want to be the driver first?",0,0
1,12,experience,OK.,0.5,0.5
1,13,experience,let me check it out.,-0.2,0.2
1,14,experience,I'm not sure.,-0.1,0.1
1,15,experience,OK.,0.5,0.5
1,16,experience,I already encouraged and Live Share.,0.7,0.7
1,17,experience,Do you have visual studio code on your computer?,0,0
1,18,experience,OK.,0.5,0.5
1,19,experience,cool.,0.9,0.9
1,20,experience,"so, are you here?",-0.1,0.1
1,21,experience,no.,-0.5,0.5
1,22,experience,I have to open the repository first.,-0.2,0.2
1,23,experience,"Actually, I am a programmer, but I forgot about Java at all.",-0.1,0.1
1,24,experience,Let's get started together.,0.3,0.3
1,25,experience,You can also share your screen.,0.5,0.5
1,26,experience,"And, here is the session.",-0.2,0.2
1,27,experience,oh.,0.2,0.2
1,28,experience,I forgot.,-0.1,0.1
1,29,experience,Have you installed live share in your with code extension?,0,0
1,30,experience,or actually you can join by browser.,0,0
1,31,experience,"but, I think it's maybe difficult to follow to read the code, maybe easier to you if you use on VSCode editor.",-0.4,0.4
1,32,experience,OK.,0.5,0.5
1,33,experience,oh.,0.2,0.2
1,34,experience,OK.,0.5,0.5
1,35,experience,I saw you.,0,0
1,36,experience,"actually, we can check in this editor as well.",0.6,0.6
1,37,experience,I cannot see.,-0.7,0.7
1,38,experience,Let’s create the first file.,0.2,0.2
1,39,experience,how to write Java?,-0.1,0.1
1,40,experience,let's see.,0,0
1,41,experience,we'll see the instructions first.,0,0
1,42,experience,"Yeah, we can press on control, shift, and P for Java trips for beginners.",0.4,0.4
